"Time (s)"	"Acceleration (m/s²)"
4.000450000E-2	-7.354095459E-1
8.000575000E-2	-7.475790977E-1
1.200067500E-1	-7.287633419E-1
1.600067500E-1	-7.257823944E-1
2.000067500E-1	-7.353932858E-1
2.400067500E-1	-7.258849144E-1
2.800067500E-1	-7.161304951E-1
3.200067830E-1	-7.122635841E-1
3.600071160E-1	-6.988584995E-1
4.100068150E-1	-1.120689392E0
4.500072140E-1	1.982233524E-1
4.900072140E-1	2.394587994E-1
5.300405470E-1	4.817247391E-2
5.701738790E-1	1.264674664E-1
6.103068780E-1	2.297139168E-1
6.504405430E-1	4.027271271E-2
6.905735420E-1	2.553129196E-2
7.307068740E-1	1.115269661E-1
7.708401730E-1	1.239986420E-1
8.109738380E-1	-4.072690010E-2
8.510071710E-1	9.867906570E-3
8.910075370E-1	1.022994518E-1
9.410071690E-1	9.719944000E-2
9.810078020E-1	-6.665015221E-2
1.021007802E0	2.562308311E-2
1.061008001E0	4.951500893E-2
1.111007667E0	-3.442173004E-2
1.151007700E0	7.368206978E-2
1.191007799E0	3.937768936E-2
1.231008099E0	-1.463801861E-1
1.281007798E0	4.349098206E-2
1.321007798E0	4.463815689E-2
1.371007164E0	-3.636989594E-2
1.421006696E0	1.133331299E-1
1.461006696E0	6.142401695E-2
1.511006529E0	-4.684333801E-2
1.561006229E0	1.830196381E-2
1.611006462E0	-4.194068909E-3
1.651007162E0	-1.617193222E-2
1.691007261E0	3.942918777E-2
1.731007594E0	3.860783577E-2
1.771007594E0	-6.413650513E-2
1.821007160E0	1.290016174E-2
1.861007160E0	1.249842644E-1
1.901007259E0	-1.255223751E-1
1.951007059E0	6.316661835E-2
1.991007359E0	-1.166577339E-1
2.031007658E0	-6.564617157E-3
2.071007658E0	1.988840103E-2
2.121007524E0	-7.230186462E-3
2.161007524E0	1.346104145E-1
2.211007056E0	-1.402587891E-2
2.261006856E0	1.774333954E-1
2.311006556E0	-1.208326340E-1
2.361005955E0	3.828544617E-2
2.401006288E0	1.764085293E-1
2.451006554E0	-5.644798279E-3
2.491006554E0	-2.035646439E-1
2.531006754E0	-1.764380932E-1
2.581006454E0	-7.691783905E-2
2.621006487E0	4.766249657E-2
2.661006787E0	2.079329491E-1
2.711006453E0	-1.424732208E-2
2.751006486E0	-7.205581665E-2
2.791006786E0	-1.079058647E-2
2.831006786E0	-6.909584999E-2
2.871007252E0	9.682559967E-2
2.911007252E0	-3.935813904E-3
2.961006884E0	-8.279800415E-2
3.011006784E0	-4.445266724E-2
3.061007083E0	-4.633522034E-2
3.101007116E0	5.960583687E-2
3.151007115E0	2.156448364E-2
3.202255422E0	1.664129257E-1
3.242255722E0	-1.554796696E-1
3.282255822E0	-2.126042843E-1
3.332255522E0	1.331975937E-1
3.382255854E0	-1.303857803E-1
3.432255186E0	6.939735413E-2
3.472255486E0	5.623269081E-2
3.512255752E0	-8.160257339E-2
3.562255785E0	1.479696274E-1
3.602255785E0	-1.704792976E-1
3.642256118E0	-1.028227806E-2
3.692255450E0	1.466482162E-1
3.732255750E0	-1.532781124E-1
3.772255750E0	2.049274445E-1
3.822255483E0	6.792259216E-3
3.872255482E0	-1.788812637E-1
3.912255482E0	1.441700459E-1
3.952255781E0	-9.248185158E-2
3.992256114E0	-4.208779335E-2
4.042255514E0	-6.197547913E-2
4.082255514E0	-3.126204014E-1
4.132255513E0	4.078006744E-2
4.182254879E0	-7.498550415E-3
4.222254912E0	1.395621300E-1
4.272254878E0	-7.580585480E-2
4.312254878E0	4.740452766E-2
4.352254878E0	1.134183407E-1
4.392255211E0	-2.648015022E-1
4.442254877E0	-1.673637390E-1
4.482255477E0	3.010981083E-1
4.532254410E0	-1.366195679E-2
4.572254410E0	3.114414215E-2
4.622254409E0	7.642116547E-2
4.662254742E0	-1.516754627E-1
4.712254741E0	-2.442684174E-2
4.752255041E0	8.800840378E-2
4.802254741E0	-3.999862671E-2
4.842255174E0	2.562189102E-2
4.882255840E0	-6.467437744E-2
4.932255506E0	-1.813829422E-1
4.982255772E0	1.061897278E-1
5.032255438E0	1.408712387E-1
5.072255438E0	2.716310024E-1
5.112255438E0	1.746416092E-3
5.152255771E0	-8.446478844E-2
5.202255103E0	1.436401367E-1
5.242255403E0	-2.192862034E-1
5.292255103E0	-7.881145477E-2
5.332255136E0	5.531048775E-2
5.372255769E0	-1.331162453E-2
5.412255769E0	2.077815533E-1
5.462255735E0	-1.205276489E-1
5.502256068E0	-2.498984337E-2
5.552255468E0	2.767753601E-1
5.592255468E0	-3.472876549E-2
5.642255467E0	-8.159561157E-2
5.692255167E0	2.102775574E-1
5.732255500E0	-1.334285736E-1
5.772255500E0	-7.841753960E-2
5.822255166E0	-1.011972427E-1
5.862255499E0	-1.347329617E-1
5.902255532E0	2.849583626E-1
5.952255198E0	-1.743516922E-1
6.002255164E0	-1.021919250E-2
6.052254830E0	-2.778053284E-3
6.092255163E0	-3.132870197E-1
6.132255496E0	1.457819939E-1
6.182255462E0	-2.339147568E-1
6.222255795E0	9.894824028E-2
6.262256095E0	4.057860374E-1
6.312255795E0	-3.411235809E-1
6.362255495E0	1.967388153E-1
6.402255828E0	3.110108376E-1
6.452255160E0	-4.055936813E-1
6.492255460E0	1.009645462E-1
6.542255126E0	-3.319358826E-2
6.582255459E0	-3.251469135E-1
6.622255459E0	2.648456097E-1
6.662255459E0	3.130269051E-2
6.712254791E0	-1.642211914E-1
6.752255391E0	3.483107090E-1
6.802255124E0	-3.103807449E-1
6.842255124E0	-1.177387238E-1
6.882255424E0	3.192417622E-1
6.922255724E0	-3.625416756E-2
6.962255724E0	-1.390705109E-1
7.002256057E0	1.703238487E-1
7.052255457E0	3.480300903E-2
7.092255457E0	-1.495831013E-1
7.142255456E0	3.438434601E-2
7.192254822E0	-1.016426086E-3
7.232255155E0	-1.817977428E-1
7.272255155E0	1.519403458E-1
7.312255488E0	1.096310616E-1
7.352255821E0	-3.348038197E-1
7.392256154E0	1.413753033E-1
7.442255820E0	2.209182739E-1
7.482256120E0	-2.249457836E-1
7.532255486E0	2.587089539E-2
7.572255486E0	6.951951981E-2
7.622255485E0	-1.948316574E-1
7.662255485E0	7.054710388E-2
7.712255484E0	6.578292847E-2
7.752255784E0	-1.005649567E-1
7.802255484E0	-2.317104340E-2
7.842255484E0	9.379959106E-2
7.882255817E0	1.456670761E-1
7.932255483E0	4.015668869E-1
7.982255749E0	5.965156555E-1
8.032255415E0	-5.134239197E-2
8.072255748E0	1.812598705E-1
8.112255748E0	4.896969795E-1
8.152256081E0	8.485162258E-1
8.202255413E0	5.985094070E-1
8.242255713E0	2.100720406E-1
8.292255413E0	4.855495453E-1
