"Time (s)"	"Pressure (hPa)"	"Height (m)"	"Time (velocity) (s)"	"Velocity (m/s)"
1.002612265E0	1.013205700E3	0.000000000E0	1.502943212E0	7.200494776E-2
2.003274159E0	1.013197046E3	7.205260740E-2	2.503470794E0	-2.194690191E-2
3.003667430E0	1.013199683E3	5.009707441E-2	3.552984592E0	8.173390608E-2
4.102301755E0	1.013188898E3	1.398927491E-1	4.602301805E0	-4.832406875E-2
5.102301855E0	1.013194702E3	9.156867557E-2	5.652301688E0	4.124395707E-2
6.202301521E0	1.013189253E3	1.369370146E-1	6.702301521E0	2.252188601E-2
7.202301521E0	1.013186548E3	1.594589006E-1	7.702301521E0	-2.845833066E-2
8.202301521E0	1.013189966E3	1.310005699E-1	8.702301521E0	7.378533497E-2
9.202301521E0	1.013181104E3	2.047859049E-1	9.702301520E0	5.151131293E-1
1.020230152E1	1.013119238E3	7.198990337E-1	1.070230152E1	8.149941988E-1
1.120230152E1	1.013021362E3	1.534893232E0	1.170230152E1	9.752690330E-1
1.220230152E1	1.012904248E3	2.510162265E0	1.270230152E1	9.243222648E-1
1.320230152E1	1.012793262E3	3.434484530E0	1.370230152E1	9.923306533E-1
1.420230152E1	1.012674121E3	4.426815183E0	1.470230152E1	1.022522369E0
1.520230152E1	1.012551367E3	5.449337553E0	1.570230152E1	9.778766328E-1
1.620230152E1	1.012433984E3	6.427214186E0	1.670230152E1	9.228369134E-1
1.720230152E1	1.012323218E3	7.350051099E0	1.770230152E1	8.069723498E-1
1.820230152E1	1.012226367E3	8.157023449E0	1.875211852E1	8.902409210E-1
1.930193552E1	1.012108887E3	9.135962634E0	1.985175250E1	9.572463479E-1
2.040156948E1	1.011982577E3	1.018858323E1	2.095143648E1	8.430334885E-1
2.150130347E1	1.011871338E3	1.111569581E1	2.200130347E1	1.013618279E0
2.250130347E1	1.011749731E3	1.212931409E1	2.305113648E1	1.012318717E0
2.360096950E1	1.011616189E3	1.324252659E1	2.415078583E1	8.815633829E-1
2.470060216E1	1.011499911E3	1.421192248E1	2.525045182E1	9.329154600E-1
2.580030149E1	1.011376864E3	1.523784899E1	2.630030149E1	1.090229059E0
2.680030149E1	1.011246118E3	1.632807804E1	2.735011815E1	9.255996646E-1
2.789993481E1	1.011124068E3	1.734589828E1	2.844975148E1	9.282007239E-1
2.899956814E1	1.011001687E3	1.836657873E1	2.954943480E1	8.758561695E-1
3.009930147E1	1.010886208E3	1.932978695E1	3.059930147E1	1.028891766E0
3.109930147E1	1.010762866E3	2.035867872E1	3.159930164E1	9.413918231E-1
3.209930180E1	1.010650024E3	2.130007085E1	3.259930180E1	8.962461450E-1
3.309930180E1	1.010542603E3	2.219631700E1	3.359930180E1	1.099853102E0
3.409930180E1	1.010410791E3	2.329617010E1	3.464930164E1	7.591339406E-1
3.519930147E1	1.010310724E3	2.413121718E1	3.569930147E1	1.006581649E0
3.619930147E1	1.010190112E3	2.513779883E1	3.669930147E1	9.487521388E-1
3.719930147E1	1.010076440E3	2.608655097E1	3.769930147E1	8.448955175E-1
3.819930147E1	1.009975220E3	2.693144649E1	3.869930147E1	4.595711489E-1
3.919930147E1	1.009920166E3	2.739101764E1	3.969930147E1	2.115527919E-1
4.019930147E1	1.009894824E3	2.760257043E1	4.069930147E1	-2.792401267E-2
4.119930147E1	1.009898169E3	2.757464642E1	4.169930147E1	7.235214774E-2
4.219930147E1	1.009889502E3	2.764699856E1	4.269930164E1	-6.114079156E-2
4.319930180E1	1.009896826E3	2.758585775E1	4.369930180E1	-8.193513710E-2
4.419930180E1	1.009906641E3	2.750392261E1	4.469930195E1	7.765259908E-2
4.519930210E1	1.009897339E3	2.758157524E1	4.569949313E1	-5.540927140E-2
4.619968416E1	1.009903979E3	2.752614480E1	NaN	NaN
