mass_A
t	x	y
4.155555556E-3	-4.999911425E-3	9.999822851E-3
8.322222222E-3	7.499867138E-3	1.249977856E-2
1.247777778E-2	2.749951284E-2	1.999964570E-2
1.664444444E-2	5.249906997E-2	2.249960141E-2
2.081111111E-2	7.749862709E-2	3.499937998E-2
2.496666667E-2	9.749827279E-2	4.249924711E-2
2.913333333E-2	1.149979628E-1	4.749915854E-2
3.330000000E-2	1.349976085E-1	5.499902568E-2
3.745555556E-2	1.399975199E-1	5.999893710E-2
4.162222222E-2	1.674970327E-1	5.999893710E-2
4.578888889E-2	1.899966342E-1	7.249871567E-2
4.995555556E-2	2.074963241E-1	7.999858280E-2
5.411111111E-2	2.149961913E-1	8.999840565E-2
5.827777778E-2	2.424957041E-1	8.999840565E-2
6.244444444E-2	2.699952170E-1	9.249836137E-2
6.661111111E-2	2.849949512E-1	1.049981399E-1
7.076666667E-2	2.999946855E-1	1.099980514E-1
7.493333333E-2	3.174943755E-1	1.049981399E-1
7.908888889E-2	3.349940655E-1	1.149979628E-1
8.325555556E-2	3.499937998E-1	1.124980071E-1
8.742222222E-2	3.724934012E-1	1.199978742E-1
9.158888889E-2	3.899930912E-1	1.224978299E-1
9.574444444E-2	3.999929140E-1	1.299976971E-1
9.991111111E-2	4.274924269E-1	1.299976971E-1
1.040666667E-1	4.399922054E-1	1.324976528E-1
1.082333333E-1	4.574918954E-1	1.374975642E-1
1.124000000E-1	4.774915411E-1	1.349976085E-1
1.165555556E-1	4.974911868E-1	1.424974756E-1
1.207222222E-1	5.124909211E-1	1.499973428E-1
1.248888889E-1	5.274906554E-1	1.424974756E-1
1.290555556E-1	5.374904782E-1	1.499973428E-1
1.332111111E-1	5.574901239E-1	1.524972985E-1
1.373777778E-1	5.774897696E-1	1.524972985E-1
1.415444444E-1	5.924895039E-1	1.549972542E-1
1.457000000E-1	6.074892382E-1	1.574972099E-1
1.498666667E-1	6.274888839E-1	1.549972542E-1
1.540222222E-1	6.374887067E-1	1.624971213E-1
1.582000000E-1	6.574883524E-1	1.549972542E-1
1.623555556E-1	6.799879538E-1	1.699969885E-1
1.665222222E-1	6.874878210E-1	1.599971656E-1
1.706777778E-1	7.024875552E-1	1.549972542E-1
1.748444444E-1	7.199872452E-1	1.574972099E-1
1.790111111E-1	7.424868467E-1	1.624971213E-1
1.831666667E-1	7.474867581E-1	1.599971656E-1
1.873444444E-1	7.674864038E-1	1.624971213E-1
1.915000000E-1	7.824861381E-1	1.599971656E-1
1.956666667E-1	7.999858280E-1	1.649970770E-1
1.998222222E-1	8.149855623E-1	1.649970770E-1
2.039888889E-1	8.274853409E-1	1.574972099E-1
2.081444444E-1	8.374851637E-1	1.574972099E-1
2.123111111E-1	8.599847651E-1	1.549972542E-1
2.164777778E-1	8.749844994E-1	1.549972542E-1
2.206444444E-1	8.974841008E-1	1.549972542E-1
2.248111111E-1	9.074839237E-1	1.549972542E-1
2.289666667E-1	9.299835251E-1	1.524972985E-1
2.331333333E-1	9.424833037E-1	1.499973428E-1
2.373000000E-1	9.599829936E-1	1.424974756E-1
2.414555556E-1	9.674828608E-1	1.549972542E-1
2.456222222E-1	9.874825065E-1	1.499973428E-1
2.497777778E-1	1.002482241E0	1.399975199E-1
2.539444444E-1	1.014982019E0	1.399975199E-1
2.581111111E-1	1.032481709E0	1.374975642E-1
2.622777778E-1	1.052481355E0	1.349976085E-1
2.664444444E-1	1.072481001E0	1.349976085E-1
2.706000000E-1	1.077480912E0	1.274977413E-1
2.747666667E-1	1.089980691E0	1.299976971E-1
2.789333333E-1	1.112480292E0	1.249977856E-1
2.830888889E-1	1.129979982E0	1.199978742E-1
2.872444444E-1	1.137479849E0	1.174979185E-1
2.914222222E-1	1.154979539E0	1.049981399E-1
2.955777778E-1	1.167479318E0	9.999822851E-2
2.997444444E-1	1.189978919E0	9.749827279E-2
3.039000000E-1	1.192478875E0	9.749827279E-2
3.080666667E-1	1.214978476E0	9.249836137E-2
3.122333333E-1	1.224978299E0	8.499849423E-2
3.163888889E-1	1.237478078E0	7.999858280E-2
3.205555556E-1	1.252477812E0	7.999858280E-2
3.247111111E-1	1.267477546E0	7.499867138E-2
3.288888889E-1	1.282477281E0	6.999875995E-2
3.330444444E-1	1.294977059E0	6.249889282E-2
3.372111111E-1	1.317476661E0	5.249906997E-2
3.413666667E-1	1.332476395E0	4.749915854E-2
3.455333333E-1	1.337476306E0	4.749915854E-2
3.497000000E-1	1.357475952E0	3.999929140E-2
3.538666667E-1	1.369975731E0	3.999929140E-2
3.580222222E-1	1.384975465E0	2.999946855E-2
3.621888889E-1	1.397475243E0	2.749951284E-2
3.663555556E-1	1.409975022E0	1.999964570E-2
3.705111111E-1	1.424974756E0	1.499973428E-2
3.746777778E-1	1.432474623E0	2.499955713E-3
3.788333333E-1	1.449974313E0	1.110223025E-16
3.830000000E-1	1.459974136E0	-1.499973428E-2
